repo,owner,name,treatment,repetition,order_index,timestamp,status_code,ok,elapsed_ms,size_bytes,error
excalidraw/excalidraw,excalidraw,excalidraw,REST,5,128,2026-06-26T15:32:13.931287+00:00,200,True,905.0956999999471,6614,
Snailclimb/JavaGuide,Snailclimb,JavaGuide,GraphQL,1,129,2026-06-26T15:32:15.106440+00:00,200,True,713.3623999998235,501,
langchain-ai/langchain,langchain-ai,langchain,GraphQL,4,130,2026-06-26T15:32:16.307645+00:00,200,True,729.5008999999482,393,
Shubhamsaboo/awesome-llm-apps,Shubhamsaboo,awesome-llm-apps,REST,4,131,2026-06-26T15:32:17.150501+00:00,200,True,616.0012000000279,5911,
2dust/v2rayN,2dust,v2rayN,GraphQL,5,132,2026-06-26T15:32:18.096113+00:00,200,True,629.1110000001936,445,
godotengine/godot,godotengine,godot,GraphQL,1,133,2026-06-26T15:32:19.208569+00:00,200,True,657.9482000001917,410,
Snailclimb/JavaGuide,Snailclimb,JavaGuide,REST,5,134,2026-06-26T15:32:20.285278+00:00,200,True,691.6762000000745,5673,
fatedier/frp,fatedier,frp,GraphQL,4,135,2026-06-26T15:32:21.337459+00:00,200,True,679.4730000001437,448,
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,GraphQL,2,136,2026-06-26T15:32:22.469417+00:00,200,True,691.5945000000647,428,
nilbuild/developer-roadmap,nilbuild,developer-roadmap,REST,4,137,2026-06-26T15:32:23.319103+00:00,200,True,626.8844999999601,6002,
yangshun/tech-interview-handbook,yangshun,tech-interview-handbook,GraphQL,2,138,2026-06-26T15:32:24.360420+00:00,200,True,651.0960999999043,448,
jwasham/coding-interview-university,jwasham,coding-interview-university,GraphQL,4,139,2026-06-26T15:32:25.546474+00:00,200,True,692.3216999998658,476,
avelino/awesome-go,avelino,awesome-go,REST,4,140,2026-06-26T15:32:26.524033+00:00,200,True,638.3077000000412,5378,
huggingface/transformers,huggingface,transformers,REST,2,141,2026-06-26T15:32:27.424408+00:00,200,True,660.2504000002227,7081,
Snailclimb/JavaGuide,Snailclimb,JavaGuide,REST,4,142,2026-06-26T15:32:28.329989+00:00,200,True,593.5979000000771,5673,
ggml-org/llama.cpp,ggml-org,llama.cpp,REST,2,143,2026-06-26T15:32:29.322973+00:00,200,True,749.1765999998279,6249,
donnemartin/system-design-primer,donnemartin,system-design-primer,REST,1,144,2026-06-26T15:32:30.410367+00:00,200,True,638.7900999998237,6148,
kubernetes/kubernetes,kubernetes,kubernetes,GraphQL,2,145,2026-06-26T15:32:31.541968+00:00,200,True,700.3443000003244,418,
ossu/computer-science,ossu,computer-science,GraphQL,3,146,2026-06-26T15:32:32.667957+00:00,200,True,767.2238000000107,421,
shadcn-ui/ui,shadcn-ui,ui,GraphQL,4,147,2026-06-26T15:32:33.858976+00:00,200,True,708.1221999997069,501,
DigitalPlatDev/FreeDomain,DigitalPlatDev,FreeDomain,GraphQL,4,148,2026-06-26T15:32:34.937296+00:00,200,True,708.5350999996081,433,
farion1231/cc-switch,farion1231,cc-switch,REST,5,149,2026-06-26T15:32:35.977044+00:00,200,True,626.9040000001951,5739,
Comfy-Org/ComfyUI,Comfy-Org,ComfyUI,REST,4,150,2026-06-26T15:32:36.934401+00:00,200,True,749.7159999998075,6395,
anthropics/skills,anthropics,skills,GraphQL,2,151,2026-06-26T15:32:37.975823+00:00,200,True,689.3385999997008,372,
sindresorhus/awesome,sindresorhus,awesome,REST,4,152,2026-06-26T15:32:38.953390+00:00,200,True,658.5932999996658,5517,
